d_dry,ovf,ovf_err,kappa,kappa_err
50,1,0.0,0.1138,0.024885480277397256
70,1,0.0,0.113,0.024558525989438272
90,1,0.0,0.116,0.025355591054799394
130,0.9804847519344561,0.002519875389560391,0.0822,0.01780169739644791
110,0.9677873779113448,0.004139752933665502,0.1134,0.024409317984396158
90,0.9411865569272976,0.007673066337014943,0.1389,0.0303479318843205
70,0.8750000000000001,0.01611397039291707,0.1539,0.03356426532865005
80,0.755859375,0.031313372388718695,0.2148,0.046349807204500014
90,0.8285322359396433,0.02220754202615331,0.1725,0.03697633157563504
70,0.8134110787172012,0.02440791315711921,0.1868,0.04116064407393679
90,0.9122085048010974,0.011200529225928096,0.1443,0.03108276058594962
80,0.875,0.016377961388677153,0.1602,0.03440821843079144
100,0.936,0.00821836586905098,0.1296,0.028467738502125705
90,0.8285322359396433,0.02215706978991499,0.1789,0.038951413816059925
110,0.9060856498873028,0.012088890659484038,0.1247,0.02761795884385719
100,1,0.0,0.1131,0.02451301744600041
80,1,0.0,0.1127,0.023937692053510866
80,1,0.0,0.113,0.024469755148234955
100,1,0.0,0.1106,0.024163219157854614
70,0.6355685131195336,0.0470988574843054,0.2563,0.05571363515634329
75,0.7037037037037037,0.03821571973380365,0.2275,0.049901362669889836
80,0.755859375,0.031751859950373794,0.202,0.04393863533319747
85,0.7964583757378384,0.026405289816861705,0.1821,0.03964624839934919
80,0.875,0.015979502028945203,0.1534,0.03316986064501663
90,0.9122085048010974,0.011497190373953692,0.1427,0.030930333686276037
100,0.936,0.0083574103977055,0.1312,0.028750441283703892
110,0.9519158527422991,0.006233694865644752,0.1157,0.02537565935481465
120,0.9629629629629629,0.0047501940961375095,0.1023,0.02188260210182441
80,0.578125,0.0544169274228735,0.2676,0.05842463564337909
50,1,0.0,0.1136,0.02492682099344091
70,1,0.0,0.113,0.02525474299365679
90,1,0.0,0.112,0.02443221101035539
130,0.9804847519344561,0.0025022332498520223,0.0878,0.019266644744804013
110,0.9677873779113448,0.004178292284341403,0.118,0.025351567580318802
90,0.9411865569272976,0.007595970950662896,0.1381,0.02969871741045026
70,0.8750000000000001,0.01586826515199908,0.1553,0.033344255237975115
80,0.755859375,0.031413534537216715,0.2197,0.048181242315149246
90,0.8285322359396433,0.022264485284858776,0.1822,0.03924260453315283
70,0.8134110787172012,0.02409012033562449,0.188,0.04030973424488435
90,0.9122085048010974,0.011305498059651732,0.1517,0.03304552793989451
80,0.875,0.016132361466462325,0.1634,0.03517332341320851
100,0.936,0.008128637823009007,0.1353,0.0294829148853441
90,0.8285322359396433,0.02198089083650654,0.1811,0.03953644891829661
110,0.9060856498873028,0.01193133974201774,0.126,0.027522476785598635
100,1,0.0,0.1144,0.024796634409736725
80,1,0.0,0.1136,0.02485174234079857
80,1,0.0,0.1127,0.024214329939856113
100,1,0.0,0.1106,0.02391869642711503
70,0.6355685131195336,0.047030352917879235,0.2629,0.05683319008494374
75,0.7037037037037037,0.03836768535854331,0.2386,0.05133190445009468
80,0.755859375,0.03166476605878777,0.212,0.04553833376894348
85,0.7964583757378384,0.026341507475500216,0.1929,0.042497774259266624
80,0.875,0.016185204888324676,0.1527,0.03311404328710608
90,0.9122085048010974,0.011405763254820404,0.1451,0.03132626048274042
100,0.936,0.008290598218891472,0.1328,0.028445848983256986
110,0.9519158527422991,0.006164390408228438,0.118,0.025417370665152407
120,0.9629629629629629,0.004713011747098311,0.1045,0.022146116688960084
80,0.578125,0.05461491422562437,0.2816,0.06208073305061787
