d_dry,ovf,ovf_err,kappa,kappa_err
80,1,0.0,0.1602,0.03513985712952895
70,0.85232362,0.01894575784505026,0.2165,0.04742056025944923
60,0.76549537,0.03040005677080528,0.2506,0.054464314550291014
48,0.54198315,0.05838295456038289,0.3167,0.0699394595377543
52,0.63975734,0.046429288952461276,0.312,0.06743229712826963
45,0.488,0.06594504042066969,0.3398,0.07452999207751106
55,0.71957325,0.03659935771883043,0.2609,0.05727553517955791
65,0.83011015,0.021874646346604118,0.2275,0.049908987553371816
75,0.889408,0.01423805960891075,0.2095,0.044727899705793314
95,0.94558274,0.007072851201964533,0.1784,0.03890620316762756
60,0.784,0.028252522291288218,0.2516,0.05466825893920546
50,0.626752,0.048568378871635745,0.2941,0.06404520010142008
47,0.58703755,0.05328154053363387,0.3064,0.06602626963079128
51,0.67678344,0.04172180317637227,0.278,0.060701589535384966
42,0.37026239,0.08186512688365694,0.3731,0.08130956458423645
44,0.45229151,0.07044375328866734,0.3329,0.07298854127895073
57,0.74806823,0.03249899968306174,0.2352,0.050151100021446876
80,0.908875,0.011840861637090796,0.1894,0.04166448680742734
80,1,0.0,0.166,0.03576052404845488
70,0.85232362,0.019057720055530254,0.2185,0.04752641512481582
60,0.76549537,0.030029155720720072,0.2556,0.05585327942871967
48,0.54198315,0.059578101523757476,0.333,0.07294177058412299
52,0.63975734,0.04701076691170093,0.322,0.07108583443268143
45,0.488,0.06568610527036693,0.3439,0.07440002150173051
55,0.71957325,0.03601569048371267,0.2675,0.05771664609766315
65,0.83011015,0.021763632007163754,0.23,0.04968991136501582
75,0.889408,0.014333960538822235,0.216,0.04701400464191204
95,0.94558274,0.007005271902329422,0.187,0.04060164877578092
60,0.784,0.027850737602805736,0.2618,0.056319132754402
50,0.626752,0.04825147420215401,0.3029,0.064986413650212
47,0.58703755,0.0529506829042176,0.3111,0.06659530431426378
51,0.67678344,0.04200187540897507,0.2854,0.061565740388512355
42,0.37026239,0.08081831548939006,0.3861,0.08413711808249602
44,0.45229151,0.07097862534710957,0.3437,0.07333760362110314
57,0.74806823,0.03245014707639131,0.2438,0.0524618091836098
80,0.908875,0.01176317151196455,0.1988,0.04372586471955288
