d_dry,ovf,ovf_err,kappa,kappa_err
80,1,0.0,0.1055,0.023184776983546464
80,1,0.0,0.108,0.024099994135337876
45,0.5294924554183813,0.06071457118802771,0.2903,0.06469144086405547
50,0.657,0.044576038319929887,0.2264,0.04958882130187141
60,0.8015046296296297,0.02562031050087715,0.1787,0.0398932516443
70,0.875,0.016069973322617954,0.1482,0.033314348289990504
47,0.5870375542991437,0.05372266535366899,0.2757,0.06062423408015806
55,0.7422990232907588,0.033210038373659365,0.2058,0.04537028348900619
65,0.8438780154756486,0.020068280376916103,0.1638,0.03611395447936763
90,0.9411865569272977,0.007517931015141901,0.1211,0.026537199963010554
80,1,0.0,0.1079,0.024504407909779098
80,1,0.0,0.1132,0.0255111844145118
45,0.5294924554183813,0.0607439387643276,0.2988,0.064215714843315
50,0.657,0.0441962692491185,0.2351,0.0523275970916111
60,0.8015046296296297,0.02573896778220424,0.1798,0.03945964860124153
70,0.875,0.01603351107307258,0.1521,0.033893185180022274
47,0.5870375542991437,0.05317028673391546,0.2811,0.06301194362816473
55,0.7422990232907588,0.03298414304356905,0.2064,0.04533372730415031
65,0.8438780154756486,0.019762271342509977,0.1672,0.036547562333805836
90,0.9411865569272977,0.00763319144710785,0.125,0.02815414313505621
