radius (nm),ovf,kappa
50,0.363944,0.3705
50,0.488,0.3341
50,0.561024,0.2723
50,0.657,0.2275
50,0.784,0.1694
50,0.784,0.1637
50,0.914816,0.1228
50,1,0.071
70,0.235731778,0.4674
70,0.370262391,0.3995
70,0.370262391,0.3454
70,0.565956268,0.273
70,0.635568513,0.2754
70,0.751650146,0.1977
70,0.784,0.1768
70,0.813411079,0.1703
70,0.863976676,0.1455
70,0.875,0.1401
70,0.913145773,0.1284
70,0.921282799,0.1275
70,0.948758017,0.1243
70,1,0.0333
70,1,0.024
80,0.916259766,0.1296
80,0.947265625,0.1246
80,1,0.016
90,0.373754458,0.2407
90,0.568680384,0.2357
90,0.640406036,0.2276
90,0.703703704,0.2043
90,0.784,0.1778
90,0.828532236,0.1674
90,0.905458162,0.1443
90,0.941186557,0.1206
90,0.962962963,0.12
90,1,0.0308
110,0.803047333,0.1387
110,0.837716003,0.1337
110,0.90608565,0.118
50,0.363944,0.3679
50,0.488,0.3195
50,0.561024,0.2656
50,0.657,0.2282
50,0.784,0.1669
50,0.784,0.1617
50,0.914816,0.1244
50,1,0.071
70,0.235731778,0.4871
70,0.370262391,0.4124
70,0.370262391,0.3778
70,0.565956268,0.2827
70,0.635568513,0.274
70,0.751650146,0.193
70,0.784,0.1746
70,0.813411079,0.1662
70,0.863976676,0.1449
70,0.875,0.144
70,0.913145773,0.128
70,0.921282799,0.1302
70,0.948758017,0.124
70,1,0.0316
70,1,0.024
80,0.916259766,0.1279
80,0.947265625,0.1241
80,1,0.016
90,0.373754458,0.2627
90,0.568680384,0.2425
90,0.640406036,0.239
90,0.703703704,0.2112
90,0.784,0.1735
90,0.828532236,0.1714
90,0.905458162,0.1381
90,0.941186557,0.1182
90,0.962962963,0.1194
90,1,0.0334
110,0.803047333,0.146
110,0.837716003,0.1418
110,0.90608565,0.1221
